N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
1,distance,kd_tree,40,2.5,manhattan,0.19580617142387235
6,uniform,kd_tree,100,2.0,manhattan,0.16452158319004775
6,distance,ball_tree,100,2.5,manhattan,0.1629645395659578
10,distance,ball_tree,60,1.0,cityblock,0.16215958199267347
10,uniform,brute,10,2.0,l1,0.16353383108099753
6,distance,brute,70,1.5,l1,0.1629645395659578
7,uniform,kd_tree,80,3.0,euclidean,0.1616422621409734
3,uniform,kd_tree,10,4.0,manhattan,0.164396550533557
6,distance,kd_tree,10,3.0,cityblock,0.1629645395659578
10,uniform,kd_tree,100,1.5,manhattan,0.16353383108099753
3,uniform,brute,40,3.5,l1,0.164396550533557
8,distance,brute,100,3.0,l2,0.1605379359100984
4,distance,kd_tree,80,4.0,euclidean,0.16844877061600746
1,distance,kd_tree,100,1.0,l2,0.20096480559511898
1,distance,ball_tree,40,3.0,cityblock,0.19580617142387235
10,uniform,brute,30,4.5,manhattan,0.16353383108099753
2,uniform,brute,50,4.0,manhattan,0.18017963101761292
8,uniform,brute,50,4.0,l1,0.16463277944776913
3,distance,ball_tree,20,2.5,manhattan,0.1640214664892537
5,distance,ball_tree,90,2.0,euclidean,0.16619780500611517
7,uniform,ball_tree,20,3.5,euclidean,0.1616422621409734
3,distance,brute,100,2.5,l2,0.1643590825845804
9,distance,ball_tree,80,2.5,l2,0.16189117792247862
4,distance,ball_tree,40,3.5,euclidean,0.16844877061600746
5,uniform,kd_tree,80,2.5,euclidean,0.16702474148397498
7,uniform,brute,100,2.5,cityblock,0.1640521095602938
5,distance,kd_tree,80,3.5,l1,0.16317099319465173
6,uniform,brute,10,4.0,cityblock,0.16452158319004775
5,uniform,ball_tree,20,4.5,l2,0.16702474148397498
5,uniform,kd_tree,30,1.5,l2,0.16702474148397498
3,distance,ball_tree,30,1.5,euclidean,0.1643590825845804
6,distance,kd_tree,40,1.5,manhattan,0.1629645395659578
10,distance,brute,50,4.0,cityblock,0.16215958199267347
8,uniform,ball_tree,100,4.0,euclidean,0.16118641222565522
1,uniform,kd_tree,90,3.5,cityblock,0.19580617142387235
7,uniform,kd_tree,100,2.5,euclidean,0.1616422621409734
10,distance,kd_tree,50,4.0,euclidean,0.1628728315538813
7,uniform,kd_tree,20,1.0,cityblock,0.1640521095602938
3,uniform,ball_tree,90,1.0,euclidean,0.16426067796536395
5,uniform,brute,30,2.0,manhattan,0.1644419494748782
7,distance,ball_tree,50,3.5,euclidean,0.16112874198520125
7,uniform,ball_tree,30,2.0,euclidean,0.1616422621409734
9,uniform,kd_tree,40,2.0,euclidean,0.16277674768184586
2,uniform,kd_tree,50,2.5,cityblock,0.18017963101761292
1,distance,ball_tree,70,2.5,manhattan,0.19580617142387235
7,distance,brute,20,2.5,manhattan,0.1623563261201955
9,uniform,kd_tree,10,2.0,cityblock,0.1649099491324212
6,distance,brute,100,2.0,manhattan,0.1629645395659578
2,uniform,ball_tree,90,2.5,l1,0.18017963101761292
8,uniform,brute,40,1.0,cityblock,0.16463277944776913
8,uniform,brute,30,3.5,l2,0.16118641222565522
9,distance,ball_tree,80,2.0,manhattan,0.16321910010407767
8,uniform,kd_tree,40,4.5,manhattan,0.16463277944776913
5,distance,kd_tree,60,3.0,l2,0.16619780500611517
9,uniform,brute,60,4.0,euclidean,0.16277674768184586
9,distance,ball_tree,10,2.0,manhattan,0.16321910010407767
1,distance,kd_tree,40,2.0,l2,0.20096480559511898
5,uniform,kd_tree,70,3.0,cityblock,0.1644419494748782
10,uniform,brute,90,2.5,l2,0.1637121101767771
4,uniform,brute,90,4.0,l1,0.16574644567925204
2,uniform,kd_tree,40,3.5,l2,0.17186991351451086
7,uniform,kd_tree,100,4.0,l1,0.1640521095602938
7,distance,ball_tree,20,1.5,euclidean,0.16112874198520125
1,distance,ball_tree,30,3.0,euclidean,0.20096480559511898
3,uniform,brute,70,2.5,euclidean,0.16426067796536395
4,distance,kd_tree,30,3.5,euclidean,0.16844877061600746
10,uniform,kd_tree,70,2.0,l1,0.16353383108099753
6,distance,ball_tree,10,3.0,l1,0.1629645395659578
1,uniform,kd_tree,30,2.0,cityblock,0.19580617142387235
2,distance,brute,40,4.0,cityblock,0.17869661385545133
6,uniform,kd_tree,10,1.0,l1,0.16452158319004775
1,distance,ball_tree,60,1.0,l2,0.20096480559511898
3,distance,kd_tree,10,4.5,l2,0.1643590825845804
2,uniform,ball_tree,80,4.5,manhattan,0.18017963101761292
5,distance,brute,30,2.0,cityblock,0.16317099319465173
7,distance,ball_tree,60,4.0,l2,0.16112874198520125
5,distance,ball_tree,100,2.5,l1,0.16317099319465173
9,uniform,brute,70,3.5,cityblock,0.1649099491324212
7,uniform,ball_tree,40,1.5,l2,0.1616422621409734
4,distance,ball_tree,80,1.5,l1,0.16482130714117513
5,uniform,kd_tree,40,3.5,manhattan,0.1644419494748782
6,uniform,kd_tree,10,4.5,manhattan,0.16452158319004775
2,uniform,kd_tree,30,1.0,euclidean,0.17186991351451086
2,distance,brute,30,3.0,euclidean,0.17235377285931872
7,distance,brute,30,2.0,cityblock,0.1623563261201955
7,distance,kd_tree,70,3.0,manhattan,0.1623563261201955
4,uniform,ball_tree,10,1.0,manhattan,0.16574644567925204
10,distance,brute,20,4.5,l1,0.16215958199267347
7,uniform,kd_tree,90,3.0,l2,0.1616422621409734
4,uniform,ball_tree,90,3.5,manhattan,0.16574644567925204
10,uniform,brute,40,3.0,euclidean,0.1637121101767771
1,distance,kd_tree,100,3.0,euclidean,0.20096480559511898
8,uniform,kd_tree,20,1.5,manhattan,0.16463277944776913
10,distance,ball_tree,100,4.0,l2,0.1628728315538813
4,distance,ball_tree,10,1.0,l2,0.16844877061600746
5,distance,kd_tree,100,1.5,euclidean,0.16619780500611517
1,uniform,brute,80,1.5,manhattan,0.19580617142387235
4,distance,brute,90,1.5,cityblock,0.16482130714117513
5,uniform,kd_tree,10,2.5,l1,0.1644419494748782
8,distance,kd_tree,100,4.0,euclidean,0.1605379359100984
5,uniform,kd_tree,90,2.0,manhattan,0.1644419494748782
3,distance,kd_tree,70,2.5,l1,0.1640214664892537
4,distance,ball_tree,90,1.0,cityblock,0.16482130714117513
7,distance,brute,100,1.0,l2,0.16112874198520125
10,uniform,brute,50,4.0,euclidean,0.1637121101767771
5,distance,ball_tree,20,1.0,cityblock,0.16317099319465173
1,uniform,brute,60,4.0,l1,0.19580617142387235
4,distance,brute,30,4.5,l1,0.16482130714117513
3,distance,ball_tree,80,4.5,manhattan,0.1640214664892537
10,uniform,ball_tree,80,4.5,manhattan,0.16353383108099753
5,distance,ball_tree,50,3.0,l2,0.16619780500611517
4,distance,brute,70,4.0,manhattan,0.16482130714117513
1,distance,ball_tree,50,3.5,manhattan,0.19580617142387235
2,distance,brute,100,2.5,l2,0.17235377285931866
1,distance,brute,30,2.0,l2,0.20096480559511898
1,uniform,kd_tree,80,2.5,manhattan,0.19580617142387235
6,distance,ball_tree,40,1.5,l2,0.16303429603962985
9,distance,kd_tree,20,4.5,cityblock,0.16321910010407767
7,uniform,brute,40,2.0,manhattan,0.1640521095602938
9,uniform,brute,60,4.5,l2,0.16277674768184586
1,uniform,kd_tree,100,1.5,manhattan,0.19580617142387235
2,distance,kd_tree,30,4.0,l1,0.17869661385545133
2,uniform,brute,10,4.5,euclidean,0.17186991351451086
10,distance,kd_tree,70,1.5,manhattan,0.16215958199267347
4,distance,ball_tree,50,3.5,manhattan,0.16482130714117513
10,uniform,kd_tree,60,1.5,cityblock,0.16353383108099753
6,distance,brute,20,2.0,l1,0.1629645395659578
4,distance,brute,80,4.0,l1,0.16482130714117513
8,distance,brute,40,1.0,l1,0.1630149688599243
7,uniform,brute,100,2.5,l1,0.1640521095602938
9,uniform,ball_tree,40,4.5,manhattan,0.1649099491324212
10,uniform,brute,100,1.0,euclidean,0.1637121101767771
3,uniform,brute,70,4.5,l1,0.164396550533557
5,uniform,ball_tree,70,2.5,l2,0.16702474148397498
1,uniform,kd_tree,40,2.5,cityblock,0.19580617142387235
1,distance,kd_tree,60,1.5,manhattan,0.19580617142387235
1,distance,ball_tree,10,1.5,cityblock,0.19580617142387235
6,distance,kd_tree,10,2.5,manhattan,0.1629645395659578
3,distance,brute,20,3.0,l1,0.1640214664892537
8,uniform,kd_tree,20,1.0,euclidean,0.16118641222565522
1,distance,kd_tree,60,2.0,cityblock,0.19580617142387235
9,uniform,ball_tree,80,4.5,manhattan,0.1649099491324212
8,uniform,ball_tree,20,2.0,l1,0.16463277944776913
6,distance,kd_tree,70,3.5,l2,0.16303429603962985
10,uniform,kd_tree,90,1.5,l1,0.16353383108099753
7,distance,brute,100,1.5,euclidean,0.16112874198520127
1,distance,kd_tree,80,3.0,cityblock,0.19580617142387235
9,distance,ball_tree,40,1.0,cityblock,0.16321910010407767
3,distance,ball_tree,30,4.0,cityblock,0.1640214664892537
10,uniform,kd_tree,90,4.5,euclidean,0.1637121101767771
3,distance,ball_tree,40,4.5,manhattan,0.1640214664892537
4,uniform,ball_tree,90,4.5,manhattan,0.16574644567925204
1,uniform,kd_tree,50,2.0,l1,0.19580617142387235
7,distance,kd_tree,60,2.5,manhattan,0.1623563261201955
8,uniform,brute,40,4.5,cityblock,0.16463277944776913
1,uniform,kd_tree,30,2.5,l1,0.19580617142387235
2,uniform,brute,70,1.5,cityblock,0.18017963101761292
4,uniform,ball_tree,50,3.0,manhattan,0.16574644567925204
7,distance,ball_tree,90,2.5,l1,0.1623563261201955
10,uniform,brute,50,1.5,l2,0.1637121101767771
8,distance,ball_tree,50,2.0,l1,0.1630149688599243
10,distance,ball_tree,90,1.0,manhattan,0.16215958199267347
1,distance,brute,50,2.5,euclidean,0.20096480559511898
10,uniform,brute,40,2.0,euclidean,0.1637121101767771
2,uniform,kd_tree,50,3.5,manhattan,0.18017963101761292
3,distance,ball_tree,60,1.0,l1,0.1640214664892537
4,uniform,ball_tree,80,4.5,cityblock,0.16574644567925204
10,distance,ball_tree,90,4.5,l2,0.1628728315538813
4,uniform,kd_tree,70,2.0,l2,0.16924945601107036
5,distance,brute,20,2.0,l1,0.16317099319465173
6,uniform,ball_tree,30,2.5,euclidean,0.1637241506430591
8,distance,kd_tree,100,2.0,l2,0.1605379359100984
7,distance,ball_tree,80,4.5,manhattan,0.1623563261201955
8,distance,kd_tree,30,4.0,manhattan,0.1630149688599243
2,uniform,kd_tree,30,1.0,l2,0.17186991351451086
9,uniform,kd_tree,20,1.5,l1,0.1649099491324212
7,distance,ball_tree,100,2.5,cityblock,0.1623563261201955
4,uniform,brute,60,1.5,l2,0.16924945601107036
2,distance,brute,60,2.5,l2,0.17235377285931866
4,distance,ball_tree,50,3.5,l1,0.16482130714117513
7,uniform,brute,90,1.0,manhattan,0.1640521095602938
1,uniform,kd_tree,100,4.5,euclidean,0.20096480559511898
6,uniform,ball_tree,20,3.0,euclidean,0.1637241506430591
5,distance,kd_tree,70,4.0,cityblock,0.16317099319465173
5,uniform,kd_tree,30,1.5,cityblock,0.1644419494748782
9,distance,brute,100,4.0,manhattan,0.16321910010407767
2,uniform,brute,60,2.5,l2,0.17186991351451086
4,distance,kd_tree,100,4.5,manhattan,0.16482130714117513
10,distance,kd_tree,80,1.5,l1,0.16215958199267347
7,distance,ball_tree,40,4.0,l1,0.1623563261201955
7,uniform,brute,30,3.5,cityblock,0.1640521095602938
2,distance,brute,30,2.0,l2,0.17235377285931866
10,uniform,brute,70,4.5,cityblock,0.16353383108099753
6,uniform,ball_tree,60,2.0,l1,0.16452158319004775
9,distance,ball_tree,80,1.0,manhattan,0.16321910010407767
3,distance,ball_tree,10,4.0,manhattan,0.1640214664892537
5,uniform,kd_tree,40,3.5,l2,0.16702474148397498
1,distance,ball_tree,50,1.5,euclidean,0.20096480559511898
2,distance,brute,50,2.5,manhattan,0.17869661385545133
7,distance,brute,90,1.0,euclidean,0.16112874198520127
10,distance,ball_tree,10,4.5,cityblock,0.16215958199267347
10,uniform,ball_tree,90,3.0,euclidean,0.1637121101767771
7,uniform,kd_tree,100,4.5,cityblock,0.1640521095602938
9,distance,ball_tree,40,2.5,manhattan,0.16321910010407767
10,uniform,kd_tree,40,3.0,euclidean,0.1637121101767771
4,uniform,brute,70,3.5,manhattan,0.16574644567925204
2,uniform,brute,20,2.0,l2,0.17186991351451086
8,uniform,brute,100,3.5,l1,0.16463277944776913
9,uniform,brute,100,1.0,l2,0.16277674768184586
5,uniform,brute,80,3.5,euclidean,0.16702474148397498
9,uniform,kd_tree,50,1.0,l2,0.16277674768184586
10,uniform,kd_tree,100,2.0,manhattan,0.16353383108099753
7,distance,brute,40,3.5,cityblock,0.1623563261201955
2,distance,kd_tree,60,4.5,manhattan,0.17869661385545133
4,distance,kd_tree,80,3.5,manhattan,0.16482130714117513
4,distance,kd_tree,100,3.5,manhattan,0.16482130714117513
9,distance,ball_tree,50,3.0,l1,0.16321910010407767
6,distance,ball_tree,70,1.0,euclidean,0.16303429603962985
7,distance,ball_tree,30,4.0,cityblock,0.1623563261201955
4,distance,brute,30,3.5,manhattan,0.16482130714117513
9,uniform,brute,20,2.0,l2,0.16277674768184586
6,uniform,ball_tree,90,2.0,euclidean,0.1637241506430591
2,distance,brute,40,3.5,euclidean,0.17235377285931872
5,distance,brute,30,1.5,l2,0.16619780500611517
7,distance,ball_tree,10,4.5,l1,0.1623563261201955
1,uniform,ball_tree,50,1.5,euclidean,0.20096480559511898
5,uniform,brute,10,1.5,l1,0.1644419494748782
3,uniform,kd_tree,100,2.0,cityblock,0.164396550533557
7,uniform,ball_tree,60,2.0,l1,0.1640521095602938
7,distance,kd_tree,80,2.5,cityblock,0.1623563261201955
4,distance,kd_tree,100,1.5,l1,0.16482130714117513
5,distance,brute,70,3.0,l1,0.16317099319465173
8,uniform,brute,90,2.0,euclidean,0.16118641222565522
10,distance,kd_tree,30,4.5,l1,0.16215958199267347
2,distance,brute,70,4.0,euclidean,0.17235377285931872
1,distance,kd_tree,10,4.5,manhattan,0.19580617142387235
8,uniform,brute,60,1.5,manhattan,0.16463277944776913
9,distance,ball_tree,90,2.0,manhattan,0.16321910010407767
5,uniform,brute,70,3.5,l1,0.1644419494748782
4,distance,brute,100,2.5,l1,0.16482130714117513
1,distance,ball_tree,100,3.5,l1,0.19580617142387235
8,distance,brute,10,2.0,l2,0.1605379359100984
5,uniform,ball_tree,20,2.0,cityblock,0.1644419494748782
9,distance,brute,100,2.0,manhattan,0.16321910010407767
1,distance,kd_tree,100,2.5,l1,0.19580617142387235
1,uniform,ball_tree,10,1.5,l1,0.19580617142387235
6,distance,kd_tree,40,4.0,cityblock,0.1629645395659578
3,distance,ball_tree,70,1.5,l2,0.1643590825845804
5,distance,brute,30,1.0,euclidean,0.1661978050061152
10,uniform,ball_tree,30,4.5,cityblock,0.16353383108099753
8,uniform,brute,50,3.0,l2,0.16118641222565522
10,distance,ball_tree,80,2.0,euclidean,0.1628728315538813
9,distance,brute,70,1.0,manhattan,0.16321910010407767
2,distance,kd_tree,20,2.5,manhattan,0.17869661385545133
1,uniform,ball_tree,60,3.5,l2,0.20096480559511898
6,uniform,brute,30,1.5,l2,0.1637241506430591
5,uniform,ball_tree,80,1.0,l2,0.16702474148397498
8,uniform,kd_tree,100,1.5,cityblock,0.16463277944776913
6,distance,brute,90,1.0,cityblock,0.1629645395659578
6,uniform,ball_tree,80,2.5,euclidean,0.1637241506430591
1,distance,ball_tree,70,3.5,euclidean,0.20096480559511898
6,distance,ball_tree,80,4.0,cityblock,0.1629645395659578
1,uniform,brute,10,2.5,cityblock,0.19580617142387235
10,distance,kd_tree,50,4.0,manhattan,0.16215958199267347
9,distance,kd_tree,10,4.5,cityblock,0.16321910010407767
3,uniform,ball_tree,50,3.5,l2,0.16426067796536395
1,uniform,ball_tree,60,2.0,manhattan,0.19580617142387235
1,distance,brute,40,1.0,euclidean,0.20096480559511898
6,distance,ball_tree,100,3.0,l2,0.16303429603962985
3,uniform,kd_tree,20,1.5,l2,0.16426067796536395
7,uniform,brute,100,3.5,l2,0.1616422621409734
4,distance,kd_tree,90,1.5,l1,0.16482130714117513
7,uniform,brute,20,3.5,euclidean,0.1616422621409734
6,distance,ball_tree,90,3.0,l1,0.1629645395659578
2,uniform,brute,90,4.5,cityblock,0.18017963101761292
10,distance,brute,100,4.5,manhattan,0.16215958199267347
3,distance,ball_tree,80,1.5,l1,0.1640214664892537
3,distance,brute,20,4.0,l2,0.1643590825845804
3,uniform,kd_tree,10,1.0,manhattan,0.164396550533557
3,distance,kd_tree,90,3.0,l1,0.1640214664892537
1,uniform,ball_tree,70,4.5,euclidean,0.20096480559511898
3,uniform,ball_tree,20,2.5,cityblock,0.164396550533557
5,uniform,kd_tree,50,4.5,cityblock,0.1644419494748782
1,distance,brute,40,2.0,cityblock,0.19580617142387235
2,uniform,kd_tree,10,4.5,l1,0.18017963101761292
8,uniform,kd_tree,70,2.0,l1,0.16463277944776913
1,distance,brute,70,1.5,cityblock,0.19580617142387235
2,uniform,kd_tree,100,4.5,euclidean,0.17186991351451086
7,uniform,kd_tree,100,2.0,euclidean,0.1616422621409734
4,distance,ball_tree,100,1.0,l2,0.16844877061600746
1,distance,ball_tree,60,4.0,cityblock,0.19580617142387235
5,distance,kd_tree,20,3.5,manhattan,0.16317099319465173
3,distance,kd_tree,20,4.0,euclidean,0.1643590825845804
1,distance,kd_tree,80,3.0,l1,0.19580617142387235
5,distance,brute,90,3.5,l1,0.16317099319465173
6,distance,kd_tree,30,2.0,euclidean,0.16303429603962985
7,uniform,ball_tree,50,3.0,l2,0.1616422621409734
1,uniform,brute,30,1.5,manhattan,0.19580617142387235
1,distance,kd_tree,100,1.5,l2,0.20096480559511898
10,uniform,kd_tree,10,1.0,l1,0.16353383108099753
1,distance,ball_tree,30,2.0,manhattan,0.19580617142387235
2,distance,brute,30,2.5,cityblock,0.17869661385545133
5,uniform,kd_tree,50,4.0,l2,0.16702474148397498
3,distance,brute,40,4.0,l2,0.1643590825845804
1,distance,brute,80,2.5,l2,0.20096480559511898
5,distance,brute,20,1.0,euclidean,0.1661978050061152
9,uniform,ball_tree,10,2.0,l2,0.16277674768184586
9,distance,brute,60,4.0,euclidean,0.1618911779224786
6,distance,ball_tree,100,3.5,cityblock,0.1629645395659578
9,uniform,kd_tree,90,4.5,l1,0.1649099491324212
8,uniform,ball_tree,70,1.0,euclidean,0.16118641222565522
7,uniform,brute,100,2.0,l2,0.1616422621409734
7,distance,ball_tree,100,4.0,manhattan,0.1623563261201955
9,distance,ball_tree,50,3.5,l1,0.16321910010407767
10,distance,brute,60,1.0,l2,0.1628728315538813
1,distance,ball_tree,40,4.0,manhattan,0.19580617142387235
5,uniform,brute,40,2.5,l1,0.1644419494748782
3,distance,brute,20,4.0,cityblock,0.1640214664892537
3,uniform,brute,20,4.5,cityblock,0.164396550533557
6,uniform,brute,90,2.0,cityblock,0.16452158319004775
1,distance,kd_tree,80,1.5,l1,0.19580617142387235
10,uniform,kd_tree,90,3.5,cityblock,0.16353383108099753
9,distance,ball_tree,80,2.0,euclidean,0.16189117792247862
4,distance,ball_tree,60,2.0,l1,0.16482130714117513
4,uniform,kd_tree,40,3.5,l1,0.16574644567925204
10,uniform,ball_tree,40,2.0,l2,0.1637121101767771
8,distance,ball_tree,100,3.5,cityblock,0.1630149688599243
8,distance,brute,60,2.0,l2,0.1605379359100984
9,distance,ball_tree,90,2.5,l2,0.16189117792247862
3,uniform,kd_tree,50,4.0,l2,0.16426067796536395
4,distance,kd_tree,50,4.0,l2,0.16844877061600746
5,distance,brute,80,2.0,euclidean,0.1661978050061152
7,uniform,kd_tree,40,4.5,l1,0.1640521095602938
3,distance,brute,60,4.5,euclidean,0.16435908258458046
10,distance,brute,100,3.5,l2,0.1628728315538813
9,uniform,ball_tree,20,2.0,l2,0.16277674768184586
5,uniform,kd_tree,40,4.5,l2,0.16702474148397498
1,distance,brute,10,1.0,l1,0.19580617142387235
1,uniform,kd_tree,10,1.5,l1,0.19580617142387235
7,distance,brute,30,3.0,l2,0.16112874198520125
9,distance,ball_tree,70,1.0,l1,0.16321910010407767
8,distance,kd_tree,80,2.0,manhattan,0.1630149688599243
7,uniform,brute,10,4.0,l1,0.1640521095602938
4,uniform,ball_tree,10,1.5,manhattan,0.16574644567925204
7,uniform,ball_tree,20,1.0,cityblock,0.1640521095602938
9,uniform,ball_tree,100,3.5,l1,0.1649099491324212
8,uniform,brute,100,1.0,euclidean,0.16118641222565522
10,uniform,kd_tree,20,2.0,l1,0.16353383108099753
8,distance,ball_tree,40,4.0,euclidean,0.1605379359100984
3,distance,kd_tree,50,3.5,l1,0.1640214664892537
8,distance,ball_tree,60,1.5,l1,0.1630149688599243
8,uniform,ball_tree,70,1.0,l1,0.16463277944776913
6,distance,ball_tree,30,1.0,l1,0.1629645395659578
4,uniform,kd_tree,10,1.5,cityblock,0.16574644567925204
6,uniform,ball_tree,40,3.0,l1,0.16452158319004775
6,distance,kd_tree,60,2.5,l2,0.16303429603962985
5,uniform,kd_tree,30,2.0,manhattan,0.1644419494748782
3,uniform,ball_tree,10,1.5,l2,0.16426067796536395
5,uniform,kd_tree,90,2.5,l1,0.1644419494748782
2,distance,kd_tree,50,2.5,l1,0.17869661385545133
10,uniform,ball_tree,30,4.5,l2,0.1637121101767771
6,distance,ball_tree,80,4.5,l2,0.16303429603962985
4,distance,kd_tree,30,1.0,cityblock,0.16482130714117513
3,uniform,ball_tree,90,2.0,l1,0.164396550533557
5,uniform,kd_tree,80,4.5,l2,0.16702474148397498
2,distance,kd_tree,90,4.0,l1,0.17869661385545133
9,uniform,ball_tree,90,3.5,l2,0.16277674768184586
1,uniform,kd_tree,60,3.0,cityblock,0.19580617142387235
7,distance,kd_tree,10,2.0,euclidean,0.16112874198520125
1,uniform,ball_tree,10,4.0,manhattan,0.19580617142387235
4,distance,brute,10,4.0,l2,0.16844877061600746
5,uniform,ball_tree,80,1.5,cityblock,0.1644419494748782
2,distance,brute,70,4.0,manhattan,0.17869661385545133
8,distance,brute,90,3.0,l2,0.1605379359100984
9,distance,ball_tree,90,1.0,l2,0.16189117792247862
7,uniform,brute,40,1.0,cityblock,0.1640521095602938
8,uniform,kd_tree,80,3.0,cityblock,0.16463277944776913
10,distance,ball_tree,70,3.0,euclidean,0.1628728315538813
7,distance,ball_tree,60,3.5,cityblock,0.1623563261201955
4,uniform,kd_tree,90,3.5,euclidean,0.16924945601107036
9,distance,kd_tree,10,1.5,l1,0.16321910010407767
8,distance,kd_tree,10,4.5,l1,0.1630149688599243
8,distance,brute,20,1.5,cityblock,0.1630149688599243
3,distance,brute,10,3.0,cityblock,0.1640214664892537
3,uniform,brute,60,1.0,euclidean,0.16426067796536395
6,distance,ball_tree,30,2.5,cityblock,0.1629645395659578
